pid,seq_no,trial_id,seq,uid,block,pos,multi,realized,win,earn,side,stake,screen_ms,btn_order
y2byltnd,32,28,HOOHOO,cce5d250-ab0a-4777-a8e8-46980885f23d,2,16,2.5,H,0,100,NB,0,3547,HO
4bwhtil0,33,44,OHOHOO,1a4adcbe-19cc-47d7-889b-4c427b3725e7,3,1,2.5,H,1,125.5,H,17,5178,HO
98r4dh1u,33,5,HHHOHH,9ed4f7d5-39e1-434d-a178-7cd6cd8b366b,3,1,2.5,H,1,230,H,52,16015,HO
gih6nd5f,33,23,HOHOOH,78985ab3-3cc1-4415-bfc0-0047fa5dc687,3,1,1.9,O,0,56,H,44,3570,OH
iiw1neqh,33,2,HHHHHO,b26ac6e6-7b5c-4a22-9209-083cb3a6593c,3,1,1.9,H,0,70,O,30,24309,OH
kuln1ae8,33,61,OOOOHH,82b1f60c-0a14-4bbd-b2ac-183ebe82b353,3,1,2.5,O,1,175,O,30,15565,OH
l03efj31,33,59,OOOHOH,7fa6a5b2-d55b-4bb2-b73f-a49385d27200,3,1,2.5,O,0,100,NB,0,11798,OH
l7mooatv,33,54,OOHOHO,c4c51cf9-828c-4375-b083-cd0ce53d9764,3,1,2.5,O,0,85,H,15,7023,OH
oyd53vb3,33,1,HHHHHH,28b5c1f3-0b62-431f-88e4-64b1bb33eb5f,3,1,2.5,H,0,37,O,63,4715,OH
s3l5cnfu,33,55,OOHOOH,dfc5a4ba-a3bb-43df-8f73-93dd784287ef,3,1,1.9,H,1,158.9,H,31,8297,HO
y2byltnd,33,7,HHHOOH,24f075eb-9db7-4bf5-ab09-da7147a3757a,3,1,2.5,O,1,109,O,6,7872,HO
4bwhtil0,34,19,HOHHOH,5efd9e0a-b12e-4126-b6e6-d4e93e1d9a66,3,2,2.5,O,1,119.5,O,13,5118,HO
98r4dh1u,34,10,HHOHHO,95592c79-c5a3-4d00-b6c3-88dad71a807e,3,2,2.5,H,1,197.5,H,39,4834,OH
gih6nd5f,34,50,OOHHHO,14f52db0-7154-40fb-9b7f-64b8f8fed448,3,2,1.9,H,1,139.6,H,44,4875,HO
iiw1neqh,34,32,HOOOOO,b3f093cd-9e31-4c83-8684-c9030eb2caee,3,2,1.9,H,1,290,H,100,6933,HO
kuln1ae8,34,9,HHOHHH,e7b3e8d3-a6ac-4266-a7b5-1da625c20425,3,2,2.5,H,0,100,NB,0,14755,OH
l03efj31,34,38,OHHOHO,e62a60c7-3a7e-4a7b-b200-abf8ce9150f1,3,2,2.5,H,0,100,NB,0,2982,HO
l7mooatv,34,48,OHOOOO,55634519-5080-4fa9-a9a6-841ede6b8fcb,3,2,2.5,O,1,113.5,O,9,3662,OH
oyd53vb3,34,49,OOHHHH,e969463e-ada0-4b7e-ae7e-a42127a58fc1,3,2,2.5,H,0,100,NB,0,3590,HO
s3l5cnfu,34,1,HHHHHH,545196dd-7b42-4060-bf79-372e0b1fb81c,3,2,1.9,H,0,87,O,13,7612,HO
y2byltnd,34,54,OOHOHO,4edb51bd-970d-43f0-930b-f7f3bb036045,3,2,2.5,H,0,96,O,4,8672,HO
4bwhtil0,35,41,OHOHHH,1724ea19-045c-478f-adf4-81e68bd3923a,3,3,2.5,H,0,87,O,13,4837,OH
98r4dh1u,35,55,OOHOOH,f63fbb5a-892f-4c13-b3e5-67b9f8df8ad9,3,3,2.5,H,0,75,O,25,5627,OH
gih6nd5f,35,57,OOOHHH,2a338e01-4f40-43ae-997f-3c44b0d559e5,3,3,1.9,H,1,138.7,H,43,3285,OH
iiw1neqh,35,37,OHHOHH,9df37344-3219-4f77-9ab1-5a927cd6cf93,3,3,1.9,O,1,195,O,50,7245,OH
kuln1ae8,35,45,OHOOHH,de070d0d-d19c-44cb-9b73-57b931d3c67b,3,3,2.5,O,0,40,H,60,23410,HO
l03efj31,35,39,OHHOOH,bd42f495-4fee-4798-9528-5f87fb474731,3,3,2.5,H,0,100,NB,0,3230,OH
l7mooatv,35,51,OOHHOH,1080db51-72ef-44da-acd2-c952f607b14d,3,3,2.5,O,0,86,H,14,2290,OH
oyd53vb3,35,21,HOHOHH,92cce5e3-bfc5-4997-814f-6737ae822ce7,3,3,2.5,O,1,242.5,O,57,9462,HO
s3l5cnfu,35,5,HHHOHH,d4f1b5f6-aebf-4095-95ce-b601071d962f,3,3,1.9,H,0,86,O,14,3917,HO
y2byltnd,35,3,HHHHOH,3111b2db-0499-4986-86c0-c0d78d57b086,3,3,2.5,O,1,110.5,O,7,7514,HO
4bwhtil0,36,29,HOOOHH,76af4376-0747-407c-917c-0cd1c007ef59,3,4,2.5,O,1,122.5,O,15,5372,HO
98r4dh1u,36,57,OOOHHH,e22ba2ea-706a-46d2-816e-cb86ec0ab5e6,3,4,2.5,H,0,100,NB,0,3773,OH
gih6nd5f,36,22,HOHOHO,c6160954-4106-433c-b730-95959fd214eb,3,4,1.9,O,1,139.6,O,44,3471,OH
iiw1neqh,36,13,HHOOHH,ba6d94d7-926e-4a0f-8ce3-c38a24b47f2e,3,4,1.9,H,1,231.1,H,69,7430,OH
kuln1ae8,36,33,OHHHHH,ba419b35-e066-4a9c-bbe7-c7adc5bac0c0,3,4,2.5,H,0,75,O,25,11783,OH
l03efj31,36,19,HOHHOH,f22ba72c-6d7b-445a-ba5d-20e9e406188a,3,4,2.5,H,0,100,NB,0,2662,OH
l7mooatv,36,3,HHHHOH,bd82e925-6f3f-403b-b7e8-22769ff8630b,3,4,2.5,O,1,118,O,12,2003,OH
oyd53vb3,36,33,OHHHHH,12246176-831f-4c04-bfc7-29c7f3d6010b,3,4,2.5,H,0,54,O,46,8250,HO
s3l5cnfu,36,32,HOOOOO,889b3a19-3acd-4eff-8539-7cb2aeacb560,3,4,1.9,H,1,166.5,H,35,4272,HO
y2byltnd,36,32,HOOOOO,861e178f-1de7-4386-a6c5-4a58cb42d0de,3,4,2.5,O,0,84,H,16,12205,HO
4bwhtil0,37,25,HOOHHH,54f5fe54-567e-4eac-80ce-9a906f8d231b,3,5,2.5,H,0,100,NB,0,3075,HO
98r4dh1u,37,27,HOOHOH,53c6dc22-eda3-4f5e-8605-9efb8dcf76d6,3,5,2.5,O,1,210,O,44,8795,OH
gih6nd5f,37,30,HOOOHO,133ac49f-431f-430e-9c69-2ab94c58fa78,3,5,1.9,O,0,57,H,43,4641,OH
iiw1neqh,37,11,HHOHOH,8a23cbc8-6e4d-4def-adca-9b178fad6a13,3,5,1.9,H,1,195,H,50,9142,OH
kuln1ae8,37,22,HOHOHO,da9b631b-c958-41d2-8a40-9082fb72f49e,3,5,2.5,O,1,125,O,10,12442,HO
l03efj31,37,22,HOHOHO,fe2b6277-ea36-4e54-b7dd-2512dc103126,3,5,2.5,O,0,100,NB,0,2740,HO
l7mooatv,37,5,HHHOHH,23eef530-92ff-4985-9a99-5f254171f8b6,3,5,2.5,H,0,87,O,13,2135,HO
oyd53vb3,37,45,OHOOHH,c1c8948b-3113-4146-94dd-dbc27aff8cd2,3,5,2.5,O,1,225,O,50,8608,OH
s3l5cnfu,37,16,HHOOOO,9959256d-71cf-46be-8be0-f6dceb0de9b6,3,5,1.9,O,1,143.7,O,23,7780,HO
y2byltnd,37,55,OOHOOH,077597bc-80d6-4565-96e5-939cd29d9e3c,3,5,2.5,H,0,95,O,5,19152,HO
4bwhtil0,38,35,OHHHOH,93d93c75-e758-4260-9b49-1fc8d6a80e66,3,6,2.5,H,0,87,O,13,8309,HO
98r4dh1u,38,35,OHHHOH,1f8d23fc-05f7-413a-bf7b-9292ffa08ca2,3,6,2.5,O,0,76,H,24,10906,HO
gih6nd5f,38,61,OOOOHH,7a2c8e08-d4f6-4b03-8922-bf1b358046f8,3,6,1.9,H,1,141.4,H,46,6618,HO
iiw1neqh,38,34,OHHHHO,d34278ad-e6a0-4d29-9e78-68f92e1b311c,3,6,1.9,H,0,0,O,100,3741,OH
kuln1ae8,38,27,HOOHOH,3ea915b8-0acc-4b2d-b4f8-6c8f85702df8,3,6,2.5,O,0,60,H,40,10565,OH
l03efj31,38,56,OOHOOO,6274f487-e91b-41d5-8b5c-ac9515905e55,3,6,2.5,H,0,100,NB,0,2821,OH
l7mooatv,38,21,HOHOHH,09d6f017-252f-4153-879e-d61595ea4e3e,3,6,2.5,O,1,118,O,12,2145,OH
oyd53vb3,38,12,HHOHOO,285f88bb-ec7a-482a-b9dc-ec9256f51329,3,6,2.5,O,0,36,H,64,5922,OH
s3l5cnfu,38,43,OHOHOH,9af5556a-ffdb-4309-9c54-d3f09c97c5a4,3,6,1.9,H,0,84,O,16,12935,HO
y2byltnd,38,58,OOOHHO,971397f0-09dc-4ab4-946e-918feac5b3fb,3,6,2.5,H,0,94,O,6,7132,OH
4bwhtil0,39,12,HHOHOO,b75945d2-1228-428b-bf21-7218d98be25d,3,7,2.5,O,0,100,NB,0,4472,HO
98r4dh1u,39,31,HOOOOH,277e703f-6c7f-4300-831f-a17424cdfdf7,3,7,2.5,O,1,180,O,32,5711,HO
gih6nd5f,39,16,HHOOOO,2e6d9633-fbed-4878-be82-938a02cbbbc8,3,7,1.9,H,0,56,O,44,3962,OH
iiw1neqh,39,64,OOOOOO,c90b5696-7b1c-45f3-8c92-15b6d6f96888,3,7,1.9,O,0,100,NB,0,7113,OH
kuln1ae8,39,35,OHHHOH,7ab7773e-8017-4f9a-b077-688a083c01fd,3,7,2.5,H,1,150,H,20,16325,OH
l03efj31,39,6,HHHOHO,139568f8-0d08-43d7-bb74-d131d8576334,3,7,2.5,H,0,100,NB,0,1838,HO
l7mooatv,39,52,OOHHOO,78c02015-9eb9-40a4-b04b-b71ee3c32ef8,3,7,2.5,H,1,116.5,H,11,3160,HO
oyd53vb3,39,2,HHHHHO,f2e7c188-25c5-49e0-b740-5ae66f70681b,3,7,2.5,H,0,44,O,56,7387,HO
s3l5cnfu,39,47,OHOOOH,afa81f14-b639-4078-bf04-178f758d4522,3,7,1.9,H,1,166.5,H,35,2548,OH
y2byltnd,39,40,OHHOOO,8d828fef-363a-4aac-957f-bbad2c8386db,3,7,2.5,H,1,107.5,H,5,13179,OH
4bwhtil0,40,36,OHHHOO,fb08f873-f44a-4016-b8bd-66cc584f02a7,3,8,2.5,H,1,124,H,16,4294,OH
98r4dh1u,40,62,OOOOHO,aa6379b2-aa58-4562-8f26-7f313e95d2ed,3,8,2.5,H,0,63,O,37,5931,OH
gih6nd5f,40,58,OOOHHO,0ba9aa28-9bc9-4cc5-8cb8-9f7cd83148a4,3,8,1.9,O,1,139.6,O,44,3462,HO
iiw1neqh,40,45,OHOOHH,8c4e88cf-ab92-4acb-9ca0-c609b45cc518,3,8,1.9,O,0,79,H,21,6454,HO
kuln1ae8,40,3,HHHHOH,e1fe41f2-b2ec-40ca-b3c8-ee9577d3fd76,3,8,2.5,H,1,175,H,30,17145,HO
l03efj31,40,53,OOHOHH,2fbaf9c4-2fe1-4d6f-bcd2-2f301341ab6e,3,8,2.5,O,0,100,NB,0,2380,OH
l7mooatv,40,36,OHHHOO,c7fab2ad-c6d9-4b3f-bc3f-e421358f2794,3,8,2.5,H,0,91,O,9,2326,OH
oyd53vb3,40,51,OOHHOH,c0534f5f-e373-4044-9354-63b4e926a68f,3,8,2.5,H,0,67,O,33,22929,HO
s3l5cnfu,40,8,HHHOOO,53f00a2a-9b33-445d-9e65-fc73f5bb1265,3,8,1.9,H,0,77,O,23,3040,HO
y2byltnd,40,49,OOHHHH,390887e1-4a8d-4437-b50b-2bcd03115684,3,8,2.5,H,0,94,O,6,7420,HO
4bwhtil0,41,48,OHOOOO,889f8685-d57b-4d39-bd73-26ee83253f83,3,9,2.5,H,1,125.5,H,17,3825,OH
98r4dh1u,41,42,OHOHHO,30a6cb1d-54ba-4024-8e38-d265247b4af0,3,9,2.5,O,1,197.5,O,39,9930,HO
gih6nd5f,41,10,HHOHHO,f5d75b54-7a41-4341-8e0b-0307299b44ac,3,9,1.9,O,0,55,H,45,3285,OH
iiw1neqh,41,56,OOHOOO,29881219-6cb8-4e69-975c-fcde486669f8,3,9,1.9,O,0,50,H,50,4829,OH
kuln1ae8,41,7,HHHOOH,6dd51af8-eb21-4bf0-8332-f063eb21f12c,3,9,2.5,O,1,162.5,O,25,12615,OH
l03efj31,41,27,HOOHOH,009ebeb6-8640-4979-90f8-bb72cfebe93f,3,9,2.5,H,0,100,NB,0,1644,HO
l7mooatv,41,37,OHHOHH,48d10693-e825-4f4d-936a-a6df65d1f3ec,3,9,2.5,H,0,86,O,14,2712,HO
oyd53vb3,41,8,HHHOOO,fc07fa9e-3d16-4674-aed4-49107a584f47,3,9,2.5,O,0,100,NB,0,3145,HO
s3l5cnfu,41,63,OOOOOH,b42a0ffe-aeea-4034-8490-c9cc2a6cab46,3,9,1.9,H,0,77,O,23,4824,HO
y2byltnd,41,44,OHOHOO,54b92b6a-cf39-4021-8583-3f42d3e4389a,3,9,2.5,O,0,95,H,5,7143,OH
4bwhtil0,42,3,HHHHOH,ce615b32-2eb7-4bac-aeaf-eecb00b822e1,3,10,2.5,H,1,124,H,16,3686,OH
98r4dh1u,42,9,HHOHHH,8e2bdaae-71e2-42ee-8d5f-d54dde685cbe,3,10,2.5,H,1,227.5,H,51,5988,HO
gih6nd5f,42,46,OHOOHO,f77d7a60-a880-45e0-81b0-986b709ecd01,3,10,1.9,H,0,53,O,47,3194,OH
iiw1neqh,42,35,OHHHOH,607c9692-420a-4819-b7df-15451c10aa11,3,10,1.9,H,0,51,O,49,9384,OH
kuln1ae8,42,40,OHHOOO,704181e9-fcc2-4655-8346-f8f0f4ab3a76,3,10,2.5,O,0,50,H,50,15599,OH
l03efj31,42,42,OHOHHO,c8512fd5-0055-473e-bc05-a4e7ef597a46,3,10,2.5,H,0,100,NB,0,1652,OH
l7mooatv,42,26,HOOHHO,80648394-d0d7-4149-aa7e-3e8ac7aaebd4,3,10,2.5,H,1,122.5,H,15,4553,OH
oyd53vb3,42,53,OOHOHH,1fc24193-c9b7-482a-9c90-890bdc0d2fb3,3,10,2.5,O,1,250,O,60,5472,HO
s3l5cnfu,42,36,OHHHOO,e29542e1-351c-4f77-919e-0c14ef584a1b,3,10,1.9,O,0,68,H,32,3528,HO
y2byltnd,42,37,OHHOHH,cdf138d2-a78c-49b5-af30-74affd78d5b3,3,10,2.5,H,0,93,O,7,4664,OH
4bwhtil0,43,8,HHHOOO,146b4592-e0b1-4996-a6a9-d81298badef9,3,11,2.5,O,0,100,NB,0,2900,HO
98r4dh1u,43,58,OOOHHO,e98fef5b-5d82-46ef-8e6c-2e142b974b03,3,11,2.5,H,1,212.5,H,45,6500,OH
gih6nd5f,43,36,OHHHOO,e378dbb0-0dbf-45ec-a818-fe9a2616c5d4,3,11,1.9,H,1,141.4,H,46,3508,HO
iiw1neqh,43,53,OOHOHH,dfd1d6e7-d6fb-4bf5-8ef9-36b8073874a4,3,11,1.9,O,1,214,O,60,7866,HO
kuln1ae8,43,16,HHOOOO,451ff298-35fa-4b8f-82d8-0f402553c618,3,11,2.5,O,1,187.5,O,35,8992,OH
l03efj31,43,52,OOHHOO,6276f608-494a-4943-8a86-df6ce99d4ed6,3,11,2.5,H,0,100,NB,0,1813,OH
l7mooatv,43,11,HHOHOH,b7f67a76-1748-4763-8a7e-ea049f6da5ad,3,11,2.5,H,0,80,O,20,4229,OH
oyd53vb3,43,57,OOOHHH,e1433ca8-459f-4c75-b267-086d148fbc8e,3,11,2.5,H,0,33,O,67,6504,HO
s3l5cnfu,43,53,OOHOHH,8720fdf0-cddb-47af-ab28-f2f3c911dd25,3,11,1.9,H,1,138,H,20,3550,OH
y2byltnd,43,53,OOHOHH,3672c274-43db-4304-aa11-4495739e3dc5,3,11,2.5,H,1,107.5,H,5,5560,HO
4bwhtil0,44,42,OHOHHO,a3d55718-1fc4-4764-8ef0-5561c515f899,3,12,2.5,H,0,88,O,12,6256,HO
98r4dh1u,44,45,OHOOHH,6ec37a4c-52aa-47f6-a873-008b0c6e104a,3,12,2.5,O,1,160,O,24,9598,OH
gih6nd5f,44,1,HHHHHH,22b9d0d3-0f33-4bf9-bbb2-6aae966d245c,3,12,1.9,O,0,54,H,46,5334,OH
iiw1neqh,44,23,HOHOOH,33881e02-7fd3-4d95-95e2-a43b91e95f58,3,12,1.9,H,1,179.8,H,42,5809,OH
kuln1ae8,44,11,HHOHOH,b2c1a744-3385-4938-a5ef-e57a0ad6e676,3,12,2.5,O,0,60,H,40,7924,HO
l03efj31,44,55,OOHOOH,6adb3578-2aa2-4d72-8ace-00ecdabbf878,3,12,2.5,O,0,100,NB,0,2573,OH
l7mooatv,44,57,OOOHHH,b3707120-e6be-413a-8fd7-360014394f81,3,12,2.5,H,1,116.5,H,11,2720,OH
oyd53vb3,44,56,OOHOOO,06cfae54-5425-4bc6-81c2-a6ef31153b46,3,12,2.5,H,1,202.5,H,41,9504,HO
s3l5cnfu,44,15,HHOOOH,8ada167b-46c3-41a0-8f4f-56a4e6d37784,3,12,1.9,H,1,170.3,H,37,2387,OH
y2byltnd,44,45,OHOOHH,80616359-da22-4af1-9e72-6c2b1db42ab2,3,12,2.5,O,0,100,NB,0,4092,HO
4bwhtil0,45,21,HOHOHH,9ea576eb-48c7-471d-b2f7-cd1eb8f2b05d,3,13,2.5,H,1,122.5,H,15,5047,OH
98r4dh1u,45,3,HHHHOH,2baefbd7-b0e1-400a-807b-231abf3618a5,3,13,2.5,H,1,247.5,H,59,5830,OH
gih6nd5f,45,18,HOHHHO,2a74f4fb-1ce2-4d29-8578-de2f52e9f416,3,13,1.9,O,1,141.4,O,46,3475,OH
iiw1neqh,45,16,HHOOOO,75de394e-ee08-4df7-b25a-73ac65ff8978,3,13,1.9,H,1,212.1,H,59,4603,OH
kuln1ae8,45,29,HOOOHH,3ea6c333-1399-4bb6-a31d-443ebdeba0f9,3,13,2.5,O,1,162.5,O,25,7217,OH
l03efj31,45,7,HHHOOH,b844065d-2644-429b-a065-8919c84b58af,3,13,2.5,H,0,100,NB,0,2165,OH
l7mooatv,45,1,HHHHHH,7c77ea8b-c3b0-440d-addf-7f716d61cb9a,3,13,2.5,O,0,52,H,48,7311,HO
oyd53vb3,45,64,OOOOOO,644fb538-ef34-44f7-b6ee-8edaa3ec0aed,3,13,2.5,O,0,31,H,69,3870,OH
s3l5cnfu,45,29,HOOOHH,663cd72c-451a-4527-a717-a2a2a514e1a0,3,13,1.9,H,1,158.9,H,31,2750,HO
y2byltnd,45,5,HHHOHH,846cbbbc-c82b-4e1c-bed2-e2a99e8f8334,3,13,2.5,O,0,85,H,15,9240,OH
4bwhtil0,46,16,HHOOOO,a5a8e4d0-9721-4b79-982a-9f35ad7d8e49,3,14,2.5,H,1,122.5,H,15,3690,HO
98r4dh1u,46,53,OOHOHH,fdc507fc-68c2-4ee1-9163-e58c953682eb,3,14,2.5,H,0,74,O,26,9189,OH
gih6nd5f,46,39,OHHOOH,4c481657-fe07-484a-aa2e-ad1fe7bd3c6a,3,14,1.9,H,1,142.3,H,47,5030,HO
iiw1neqh,46,8,HHHOOO,ef42a268-6fb5-48d6-ac59-d43ee22e891b,3,14,1.9,H,0,50,O,50,5344,HO
kuln1ae8,46,32,HOOOOO,8af4e107-4d3a-4ff2-8ee6-096c03dd63e8,3,14,2.5,O,1,112.5,O,5,9498,OH
l03efj31,46,36,OHHHOO,ce1076f6-00cd-4bac-b777-9759e9ede0a4,3,14,2.5,O,0,100,NB,0,1378,HO
l7mooatv,46,38,OHHOHO,12550dda-dc01-42ee-b348-d9256ee8ecf0,3,14,2.5,O,1,110.5,O,7,2699,HO
oyd53vb3,46,54,OOHOHO,b93c1ab3-7f6d-409e-9507-d63f44d86d8f,3,14,2.5,H,0,42,O,58,14605,OH
s3l5cnfu,46,20,HOHHOO,89a0ac4d-c8ad-4ebf-8777-c02cf2b10796,3,14,1.9,H,0,56,O,44,2871,HO
y2byltnd,46,38,OHHOHO,58e37fee-b930-46ad-95fd-b1cf0a3d0261,3,14,2.5,H,0,94,O,6,7534,HO
4bwhtil0,47,38,OHHOHO,f5737d43-3888-4373-9c95-6d32da72cf95,3,15,2.5,O,1,127,O,18,4785,HO
98r4dh1u,47,48,OHOOOO,569d2c12-3906-43c5-a44a-6490bf8d9a56,3,15,2.5,O,0,70,H,30,9051,HO
gih6nd5f,47,11,HHOHOH,e5dbd062-275e-4d24-8e77-e313be58aa87,3,15,1.9,O,1,140.5,O,45,4880,HO
iiw1neqh,47,29,HOOOHH,329c713f-bf27-452b-bac4-4f39978c5e85,3,15,1.9,O,1,195,O,50,12104,HO
kuln1ae8,47,14,HHOOHO,12de14a0-8480-4c92-a065-e49f988aa67a,3,15,2.5,O,0,50,H,50,10153,OH
l03efj31,47,44,OHOHOO,7617cf36-3964-428c-bd41-c8c79650b317,3,15,2.5,O,0,100,NB,0,2339,HO
l7mooatv,47,33,OHHHHH,25bd65c8-c857-4697-b7cf-9f3fa7324c05,3,15,2.5,O,1,118,O,12,4621,OH
oyd53vb3,47,46,OHOOHO,d6571dde-1488-4670-9242-119e15537f78,3,15,2.5,H,1,172.5,H,29,9214,HO
s3l5cnfu,47,61,OOOOHH,9bc79d09-e85a-42f2-ba57-1e32a488eb59,3,15,1.9,H,0,82,O,18,4639,OH
y2byltnd,47,8,HHHOOO,4125c254-3dd8-4771-9799-fd43051f1bfc,3,15,2.5,O,0,100,NB,0,2114,OH
4bwhtil0,48,26,HOOHHO,089ad739-e5e4-4a01-a92d-0c55e8e00a38,3,16,2.5,H,0,100,NB,0,3786,HO
98r4dh1u,48,47,OHOOOH,fde1aa68-4f09-4500-96b0-c5d30128aab3,3,16,2.5,H,0,74,O,26,7709,HO
gih6nd5f,48,63,OOOOOH,0a9b90d0-081a-4fde-b4af-1918988acff5,3,16,1.9,O,1,136.9,O,41,4055,OH
iiw1neqh,48,60,OOOHOO,d4de370f-a024-4a80-b731-dd68bbf1986f,3,16,1.9,H,0,100,NB,0,6545,HO
kuln1ae8,48,58,OOOHHO,18a40bd7-16b9-490c-825f-a83b01a802be,3,16,2.5,O,0,80,H,20,7555,HO
l03efj31,48,40,OHHOOO,3b62fd87-9bc2-4aa5-a3b3-b7dce3924db5,3,16,2.5,H,0,100,NB,0,1686,OH
l7mooatv,48,22,HOHOHO,5f4a6674-ed00-4c45-821c-8e165daa9eeb,3,16,2.5,O,1,110.5,O,7,3296,HO
oyd53vb3,48,19,HOHHOH,c4e00944-956c-4001-a869-58745f1a4488,3,16,2.5,H,0,65,O,35,6549,OH
s3l5cnfu,48,42,OHOHHO,a74c9210-49c0-49f9-a4a0-2c2890c33657,3,16,1.9,O,1,168.4,O,36,2020,OH
